Codes:,gemeinden,wappen
2401,Egerkingen,http://i.imgur.com/wyoEuip.png
2402,Härkingen,http://i.imgur.com/PQdyoSw.png
2403,Kestenholz,http://i.imgur.com/ITC2whV.png
2404,Neuendorf,http://i.imgur.com/aAcIy85.png
2405,Niederbuchsiten,http://i.imgur.com/cetMZcH.png
2406,Oberbuchsiten,http://i.imgur.com/GMgfP9q.png
2407,Oensingen,http://i.imgur.com/nxrng2H.png
2408,Wolfwil,http://i.imgur.com/rWT56QU.png
2421,Aedermannsdorf,http://i.imgur.com/BVMxQoV.png
2422,Balsthal,http://i.imgur.com/18bTE5O.png
2424,Herbetswil,http://i.imgur.com/WH6domI.png
2425,Holderbank (SO),http://i.imgur.com/ftfz7o1.png
2426,Laupersdorf,http://i.imgur.com/ZL7intR.png
2427,Matzendorf,http://i.imgur.com/z108GYa.png
2428,Mümliswil-Ramiswil,http://i.imgur.com/IvGrJWV.png
2445,Biezwil,http://i.imgur.com/Uvd4WG8.png
2455,Lüterkofen-Ichertswil,http://i.imgur.com/YJgUnxE.png
2456,Lüterswil-Gächliwil,http://i.imgur.com/npIlzay.png
2457,Messen,http://i.imgur.com/2uxYEzV.png
2461,Schnottwil,http://i.imgur.com/pEng2IM.png
2463,Unterramsern,http://i.imgur.com/0U1SQNr.png
2464,Lüsslingen-Nennigkofen,http://i.imgur.com/N8MtfcB.png
2465,Buchegg,http://i.imgur.com/yrxc1LY.png
2471,Bättwil,http://i.imgur.com/LLvYalH.png
2472,Büren (SO),http://i.imgur.com/PnBxaSz.png
2473,Dornach,http://i.imgur.com/COHmoqb.png
2474,Gempen,http://i.imgur.com/HzEspur.png
2475,Hochwald,http://i.imgur.com/kIBMZAQ.png
2476,Hofstetten-Flüh,http://i.imgur.com/V2VR9yi.png
2477,Metzerlen-Mariastein,http://i.imgur.com/i4ILrgV.png
2478,Nuglar-St. Pantaleon,http://i.imgur.com/MGm5Ywo.png
2479,Rodersdorf,http://i.imgur.com/p4uw0r9.png
2480,Seewen,http://i.imgur.com/0JB6Mb5.png
2481,Witterswil,http://i.imgur.com/0JrQ5Xw.png
2491,Hauenstein-Ifenthal,http://i.imgur.com/b50AcVT.png
2492,Kienberg,http://i.imgur.com/wLtAkKX.png
2493,Lostorf,http://i.imgur.com/zAcNSRM.png
2495,Niedergösgen,http://i.imgur.com/AllQYDU.png
2497,Obergösgen,http://i.imgur.com/H29uxzr.png
2498,Rohr (SO),http://i.imgur.com/DE1ng4r.png
2499,Stüsslingen,http://i.imgur.com/ZbMWoK9.png
2500,Trimbach,http://i.imgur.com/WoSpmww.png
2501,Winznau,http://i.imgur.com/XzWXfuU.png
2502,Wisen (SO),http://i.imgur.com/GaaabXQ.png
2503,Erlinsbach (SO),http://i.imgur.com/PUlb6uL.png
2511,Aeschi (SO),http://i.imgur.com/tCbYiS4.png
2513,Biberist,http://i.imgur.com/t1DRpBF.png
2514,Bolken,http://i.imgur.com/pHr48dt.png
2516,Deitingen,http://i.imgur.com/p2y3Rzi.png
2517,Derendingen,http://i.imgur.com/drmZ0fh.png
2518,Etziken,http://i.imgur.com/HbwkPRH.png
2519,Gerlafingen,http://i.imgur.com/9CQ9svQ.png
2520,Halten,http://i.imgur.com/v6uFic4.png
2523,Horriwil,http://i.imgur.com/EbWzfp4.png
2524,Hüniken,http://i.imgur.com/BlUx9Vv.png
2525,Kriegstetten,http://i.imgur.com/4jZ8ETC.png
2526,Lohn-Ammannsegg,http://i.imgur.com/B6ZozeW.png
2527,Luterbach,http://i.imgur.com/M0uPCK5.png
2528,Obergerlafingen,http://i.imgur.com/oXurco9.png
2529,Oekingen,http://i.imgur.com/zvx6Jpb.png
2530,Recherswil,http://i.imgur.com/tvUPa8W.png
2532,Subingen,http://i.imgur.com/3nC8fJu.png
2534,Zuchwil,http://i.imgur.com/A5H6PB3.png
2535,Drei Höfe,http://i.imgur.com/4JHrz4f.png
2541,Balm bei Günsberg,http://i.imgur.com/rvs0Qur.png
2542,Bellach,http://i.imgur.com/ltCzE3I.png
2543,Bettlach,http://i.imgur.com/iR6Ksbc.png
2544,Feldbrunnen-St. Niklaus,http://i.imgur.com/8RQLWmc.png
2545,Flumenthal,http://i.imgur.com/h8frbs5.png
2546,Grenchen,http://i.imgur.com/HPgVrQu.png
2547,Günsberg,http://i.imgur.com/ZKfrFH6.png
2548,Hubersdorf,http://i.imgur.com/GrIxwUh.png
2549,Kammersrohr,http://i.imgur.com/RnR67ta.png
2550,Langendorf,http://i.imgur.com/gBJhift.png
2551,Lommiswil,http://i.imgur.com/kp8FhJC.png
2553,Oberdorf (SO),http://i.imgur.com/crpGiRQ.png
2554,Riedholz,http://i.imgur.com/sMEMU8t.png
2555,Rüttenen,http://i.imgur.com/sivJZRn.png
2556,Selzach,http://i.imgur.com/kla0mby.png
2571,Boningen,http://i.imgur.com/MhFqEu0.png
2572,Däniken,http://i.imgur.com/BZxrxKx.png
2573,Dulliken,http://i.imgur.com/XL473mv.png
2574,Eppenberg-Wöschnau,http://i.imgur.com/opQd41l.png
2575,Fulenbach,http://i.imgur.com/QcYUHDY.png
2576,Gretzenbach,http://i.imgur.com/MlSwCRn.png
2578,Gunzgen,http://i.imgur.com/tAcSIIa.png
2579,Hägendorf,http://i.imgur.com/RJoWgKI.png
2580,Kappel (SO),http://i.imgur.com/FR4dCDn.png
2581,Olten,http://i.imgur.com/P9JM0Cd.png
2582,Rickenbach (SO),http://i.imgur.com/EVTUO7d.png
