date,Neue Fälle,7-Tages-Durchschnitt,baseline
2020-02-26,1,,0
2020-02-27,0,,0
2020-02-28,0,,0
2020-02-29,2,,0
2020-03-01,1,,0
2020-03-02,3,,0
2020-03-03,0,1.0,0
2020-03-04,3,1.0,0
2020-03-05,1,1.0,0
2020-03-06,1,2.0,0
2020-03-07,2,2.0,0
2020-03-08,0,1.0,0
2020-03-09,1,1.0,0
2020-03-10,3,2.0,0
2020-03-11,2,1.0,0
2020-03-12,7,2.0,0
2020-03-13,3,3.0,0
2020-03-14,3,3.0,0
2020-03-15,10,4.0,0
2020-03-16,13,6.0,0
2020-03-17,13,7.0,0
2020-03-18,27,11.0,0
2020-03-19,38,15.0,0
2020-03-20,41,21.0,0
2020-03-21,48,27.0,0
2020-03-22,12,27.0,0
2020-03-23,10,27.0,0
2020-03-24,38,31.0,0
2020-03-25,35,32.0,0
2020-03-26,49,33.0,0
2020-03-27,40,33.0,0
2020-03-28,37,32.0,0
2020-03-29,41,36.0,0
2020-03-30,21,37.0,0
2020-03-31,48,39.0,0
2020-04-01,42,40.0,0
2020-04-02,35,38.0,0
2020-04-03,42,38.0,0
2020-04-04,29,37.0,0
2020-04-05,34,36.0,0
2020-04-06,27,37.0,0
2020-04-07,30,34.0,0
2020-04-08,39,34.0,0
2020-04-09,21,32.0,0
2020-04-10,27,30.0,0
2020-04-11,21,28.0,0
2020-04-12,8,25.0,0
2020-04-13,7,22.0,0
2020-04-14,14,20.0,0
2020-04-15,15,16.0,0
2020-04-16,17,16.0,0
2020-04-17,26,15.0,0
2020-04-18,20,15.0,0
2020-04-19,8,15.0,0
2020-04-20,2,15.0,0
2020-04-21,9,14.0,0
2020-04-22,11,13.0,0
2020-04-23,15,13.0,0
2020-04-24,17,12.0,0
2020-04-25,8,10.0,0
2020-04-26,10,10.0,0
2020-04-27,5,11.0,0
2020-04-28,6,10.0,0
2020-04-29,7,10.0,0
2020-04-30,6,8.0,0
2020-05-01,12,8.0,0
2020-05-02,5,7.0,0
2020-05-03,4,6.0,0
2020-05-04,2,6.0,0
2020-05-05,6,6.0,0
2020-05-06,4,6.0,0
2020-05-07,4,5.0,0
2020-05-08,4,4.0,0
2020-05-09,2,4.0,0
2020-05-10,7,4.0,0
2020-05-11,4,4.0,0
2020-05-12,2,4.0,0
2020-05-13,5,4.0,0
2020-05-14,4,4.0,0
2020-05-15,4,4.0,0
2020-05-16,2,4.0,0
2020-05-17,3,3.0,0
2020-05-18,2,3.0,0
2020-05-19,7,4.0,0
2020-05-20,1,3.0,0
2020-05-21,0,3.0,0
2020-05-22,2,2.0,0
2020-05-23,1,2.0,0
2020-05-24,0,2.0,0
2020-05-25,0,2.0,0
2020-05-26,2,1.0,0
2020-05-27,1,1.0,0
2020-05-28,1,1.0,0
2020-05-29,7,2.0,0
2020-05-30,0,2.0,0
2020-05-31,3,2.0,0
2020-06-01,0,2.0,0
2020-06-02,0,2.0,0
2020-06-03,1,2.0,0
2020-06-04,2,2.0,0
2020-06-05,0,1.0,0
2020-06-06,2,1.0,0
2020-06-07,0,1.0,0
2020-06-08,0,1.0,0
2020-06-09,2,1.0,0
2020-06-10,0,1.0,0
2020-06-11,3,1.0,0
2020-06-12,3,1.0,0
2020-06-13,1,1.0,0
2020-06-14,2,2.0,0
2020-06-15,1,2.0,0
2020-06-16,1,2.0,0
2020-06-17,0,2.0,0
2020-06-18,3,2.0,0
2020-06-19,2,1.0,0
2020-06-20,3,2.0,0
2020-06-21,0,1.0,0
2020-06-22,2,2.0,0
2020-06-23,0,1.0,0
2020-06-24,7,2.0,0
2020-06-25,5,3.0,0
2020-06-26,10,4.0,0
2020-06-27,5,4.0,0
2020-06-28,4,5.0,0
2020-06-29,6,5.0,0
2020-06-30,23,9.0,0
2020-07-01,15,10.0,0
2020-07-02,13,11.0,0
2020-07-03,4,10.0,0
2020-07-04,3,10.0,0
2020-07-05,2,9.0,0
2020-07-06,7,10.0,0
2020-07-07,8,7.0,0
2020-07-08,7,6.0,0
2020-07-09,6,5.0,0
2020-07-10,13,7.0,0
2020-07-11,14,8.0,0
2020-07-12,3,8.0,0
2020-07-13,6,8.0,0
2020-07-14,15,9.0,0
2020-07-15,14,10.0,0
2020-07-16,9,11.0,0
2020-07-17,14,11.0,0
2020-07-18,7,10.0,0
2020-07-19,2,10.0,0
2020-07-20,7,10.0,0
2020-07-21,17,10.0,0
2020-07-22,9,9.0,0
2020-07-23,15,10.0,0
2020-07-24,15,10.0,0
2020-07-25,6,10.0,0
2020-07-26,2,10.0,0
2020-07-27,4,10.0,0
2020-07-28,16,10.0,0
2020-07-29,11,10.0,0
2020-07-30,23,11.0,0
2020-07-31,10,10.0,0
2020-08-01,16,12.0,0
2020-08-02,2,12.0,0
2020-08-03,5,12.0,0
2020-08-04,15,12.0,0
2020-08-05,16,12.0,0
2020-08-06,18,12.0,0
2020-08-07,10,12.0,0
2020-08-08,8,11.0,0
2020-08-09,3,11.0,0
2020-08-10,9,11.0,0
2020-08-11,29,13.0,0
2020-08-12,24,14.0,0
2020-08-13,20,15.0,0
2020-08-14,13,15.0,0
